"","site","date","NH4-N_mg/L","PO4-P_mg/L","DOC_mg/L","TDN_mg/L","DIN_N mg/L","DON_N mg/L","Cl_mg/L","SO4_mg/L","Br_mg/L","NO3-N_mg/L","Na_mg/L","K_mg/L","Mg_mg/L","Ca_mg/L"
"52","ecgs",2021-09-08,0.033,0.0754,7.168,1.261,0.70249,0.55851,51.96788,53.02257,0.32964,0.66949,60.70582,11.53952,4.55995,17.62095
"53","nhc",2021-09-08,0.0129,0.005,3.71318,0.23285,0.07423,0.15862,9.48591,7.33483,0.15394,0.06133,6.8421,2.1021,4.22918,13.4477
"54","ecng",2021-09-17,0.0379,0.0993,4.003,0.3036,0.16055,0.14305,11.41224,22.67517,0.005,0.12265,16.35596,2.508,4.15726,12.96204
"55","ecgs",2021-09-17,0.0456,0.175,8.629,1.121,0.4774,0.6436,49.01284,48.60951,0.33286,0.4318,57.03532,12.59881,4.96677,17.07739
"56","nhc",2021-09-17,0.005,0.005,3.28176,0.17814,0.04263,0.13551,12.01905,6.22025,0.15692,0.03763,7.85331,2.05047,4.47162,13.91823
"57","ecng",2021-10-04,0.0292,0.027,4.228,0.2549,0.08753,0.16737,9.37543,12.01678,0.18402,0.05833,10.3918,2.25776,4.75527,16.97495
"58","ecgs",2021-10-04,0.0306,0.0644,5.753,0.7322,0.27744,0.45476,47.00408,51.11537,0.32546,0.24684,56.15061,12.09478,4.3279,16.7447
"59","nhc",2021-10-08,0.005,0.005,3.87324,0.17353,0.02921,0.14432,9.94474,6.2222,0.15334,0.02421,7.19685,2.20534,4.24677,13.36821
"60","ecng",2021-10-15,0.0445,0.0378,5.279,0.381,0.1491,0.2319,9.43707,10.99985,0.005,0.1046,10.64516,2.66715,4.6005,16.84778
"61","ecgs",2021-10-15,0.0387,0.0425,7.774,2.017,1.48264,0.53436,46.91436,42.19004,0.38214,1.44394,53.29975,13.61305,4.68335,18.64105
"62","nhc",2021-10-15,0.0134,0.005,NA,NA,0.04641,NA,10.53344,7.402,0.18228,0.03301,6.73517,2.19198,4.32418,14.65187
"63","ecng",2021-10-22,0.031,0.0284,5.223,0.278,0.08772,0.19028,8.49918,7.42023,0.17744,0.05672,7.72217,2.38726,4.07002,15.22891
"64","ecgs",2021-10-22,0.0365,0.0488,7.46,1.764,1.24968,0.51432,47.99016,43.04611,0.3812,1.21318,55.54715,14.67241,4.60111,16.91013
"65","nhc",2021-10-22,0.005,0.005,NA,NA,0.04602,NA,11.64431,7.02657,0.18753,0.04102,7.29362,2.19564,4.6096,15.34947
"66","ecng",2021-11-05,0.0289,0.0125,5.683,0.2424,0.05791,0.18449,9.18876,9.40988,0.005,0.02901,8.25342,2.60043,4.73949,16.53975
"67","ecgs",2021-11-05,0.0353,0.0296,8.037,1.943,1.43929,0.50371,47.15252,43.28361,0.37514,1.40399,53.85986,15.1191,4.53692,18.41084
"68","nhc",2021-11-05,0.005,0.005,NA,NA,0.0075,NA,9.97106,5.32906,0.005,0.0025,6.25721,2.17083,4.04938,13.23203
"69","nhc",2021-11-12,0.0102,0.005,NA,NA,0.04275,NA,10.95444,5.73709,0.1652,0.03255,6.89588,2.24568,4.58032,14.35539
"70","ecng",2021-11-19,0.005,0.0195,6.063,0.1909,0.0075,0.1834,16.48239,16.63785,0.29189,0.0025,14.34337,3.2965,7.95562,23.74225
"71","ecgs",2021-11-19,0.0247,0.0196,7.735,2.351,1.84019,0.51081,50.47758,47.63593,0.36815,1.81549,57.31077,15.98888,4.62007,17.71172
"72","nhc",2021-11-19,0.005,0.005,NA,NA,0.0075,NA,11.38267,6.06194,0.005,0.0025,7.17816,2.37993,4.90018,15.07893
"73","ecng",2021-12-03,0.005,0.0286,6.232,0.1908,0.01676,0.17404,13.44591,14.91761,0.26029,0.01176,12.25084,2.97308,6.39604,20.22809
"74","ecgs",2021-12-03,0.0282,0.0133,7.446,2.711,2.24411,0.46689,46.92421,47.05407,0.3664,2.21591,55.18438,16.18008,4.45832,17.56042
"75","ecng",2021-12-10,0.005,0.0323,6.401,0.1963,0.0075,0.1888,14.71763,20.35821,0.64388,0.0025,16.22486,3.36061,3.39271,11.82844
"76","ecgs",2021-12-10,2.1,0.0247,9.428,6.004,5.48782,0.516179999999999,49.67302,52.92921,0.10073,3.38782,60.322,19.00394,4.42088,15.65253
"77","nhc",2021-12-10,0.005,0.005,3.006,0.1016,0.0244,0.0772,13.39083,7.52552,0.40731,0.0194,8.39013,2.27799,5.13339,14.31496
"78","ecng",2021-12-23,0.005,0.0337,6.127,0.3283,0.11398,0.21432,7.39703,10.05363,0.32684,0.10898,8.12088,2.54141,4.29277,14.3325
"79","ecgs",2021-12-23,0.0104,0.0254,7.025,2.393,1.8736,0.5194,35.98344,44.63001,0.0613,1.8632,44.22424,12.70084,5.1884,18.53103
"80","nhc",2021-12-23,0.005,0.005,3.297,0.1153,0.0075,0.1078,13.4062,8.82225,0.29224,0.0025,8.24288,2.24596,3.30706,9.20931
"81","ecng",2022-01-07,0.005,0.0231,6.97,0.5404,0.26608,0.27432,9.78419,12.61714,0.34776,0.26108,8.98536,2.53418,4.98221,15.84022
"82","ecgs",2022-01-07,0.0322,0.0133,7.783,3.059,2.64965,0.40935,32.76251,46.81819,0.51835,2.61745,37.77871,10.34035,5.07488,16.84939
"83","nhc",2022-01-07,0.005,0.0104,5.348,0.4888,0.30831,0.18049,9.63389,7.52475,0.2166,0.30331,6.00134,1.90144,3.62899,10.2098
"84","ecng",2022-01-14,0.005,0.0252,5.22,0.444,0.24079,0.20321,12.68772,14.52022,0.40087,0.23579,11.10064,2.31466,3.62806,14.02918
"85","ecgs",2022-01-14,0.0272,0.025,7.092,3.317,2.87193,0.44507,38.51008,45.68132,0.06613,2.84473,45.76036,11.73237,4.08455,14.92253
"86","nhc",2022-01-14,0.005,0.0102,5.024,0.3527,0.18,0.1727,10.8602,7.89035,0.26408,0.175,9.46286,1.18813,4.01681,11.6715
"87","ecng",2022-01-21,0.0165,0.0569,6.766,0.6411,0.32283,0.31827,56.19316,9.06534,0.23189,0.30633,32.06911,2.20981,6.37587,20.0512
"88","ecgs",2022-01-21,0.0308,0.0313,7.358,1.642,1.26668,0.37532,47.23861,22.06916,0.38639,1.23588,36.66106,5.51295,5.69732,18.75493
"89","nhc",2022-01-21,0.005,0.005,4.547,0.3392,0.19949,0.13971,16.73871,8.01598,0.22706,0.19449,6.62707,1.62252,3.30595,9.11198
"90","ecng",2022-01-28,0.005,0.0234,4.451,0.4429,0.25042,0.19248,83.62898,17.13973,0.4234,0.24542,49.81514,2.46445,6.77994,15.62424
"91","ecgs",2022-01-28,0.0792,0.0121,7.656,3.481,3.02429,0.45671,63.09161,44.85443,0.54008,2.94509,58.5432,12.30726,5.5657,18.68702
"92","nhc",2022-01-28,0.005,0.005,3.125,0.2133,0.13312,0.08018,16.50899,7.98797,0.24637,0.12812,9.39071,1.3405,3.74823,10.5799
"93","ecng",2022-02-18,0.901,0.0325,5.805,1.381,1.13377,0.24723,44.43072,20.52468,0.53927,0.23277,31.16364,2.84099,3.4959,11.50946
"94","ecgs",2022-02-18,0.005,0.005,7.204,1.966,1.40551,0.56049,48.86886,47.04611,0.09188,1.40051,53.49801,13.03762,4.06905,13.57723
"95","nhc",2022-02-18,0.005,0.005,2.785,0.1088,0.03233,0.07647,14.46229,8.10504,0.32845,0.02733,8.62035,1.25063,4.25031,12.69878
"96","ecng",2022-02-25,0.0894,0.0525,7.425,0.8109,0.42276,0.38814,32.60367,10.15476,0.285,0.33336,21.2379,2.42261,4.65586,15.78778
"97","ecgs",2022-02-25,0.0516,0.0189,7.932,1.654,1.16195,0.49205,36.16704,29.51619,0.46846,1.11035,36.59711,8.60897,8.19943,24.46363
"98","nhc",2022-02-25,0.005,0.005,2.96,0.1361,0.02305,0.11305,15.19899,8.16883,0.30592,0.01805,9.13556,1.30331,6.96896,21.13205
"99","nhc",2022-03-11,0.005,0.0101,5.959,0.3431,0.154,0.1891,10.851,6.138,0.005,0.149,7.05,1.03,3.14,9.62
"100","ecng",2022-03-11,0.0159,0.0357,7.684,0.6379,0.2789,0.359,23.156,11.658,0.005,0.263,16.69,2.14,4.3,17.05
"101","ecgs",2022-03-11,0.0113,0.0207,8.5,1.731,1.3323,0.3987,32.312,30.832,0.005,1.321,33.18,8.82,5.02,20.05
"102","nhc",2022-03-18,0.005,0.0172,8.84,0.3566,0.17,0.1866,4.908,4.428,0.005,0.165,3.77,1,2.05,6.56
"103","ecng",2022-03-18,0.005,0.0527,12.08,0.7648,0.279,0.4858,11.327,7.795,0.005,0.274,8.63,1.95,3.12,12.83
"104","ecgs",2022-03-18,0.0192,0.0437,10.9,1.35,0.8702,0.4798,15.827,17.984,0.005,0.851,15.98,4.84,3.83,17.08
"105","nhc",2022-03-25,0.005,0.005,3.168,0.1669,0.108,0.0589,9.782,6.451,0.005,0.103,6.59,0.92,3.32,10.4
"106","ecng",2022-03-25,0.005,0.0251,7.625,0.4288,0.144,0.2848,21.052,12.3,0.152,0.139,15.85,2.12,4.72,17.69
"107","ecgs",2022-03-25,0.005,0.0195,8.199,1.246,0.717,0.529,36.095,40.273,0.045,0.712,40.23,10.03,5.77,23.03
"108","nhc",2022-04-01,0.005,0.005,5.075,0.2067,0.045,0.1617,11.05,6.748,0.005,0.04,7.24,1.19,3.27,10.8
"109","ecng",2022-04-01,0.005,0.0375,8.854,0.6312,0.231,0.4002,13.228,8.116,0.005,0.226,10.32,2.34,3.3,13.63
"110","ecgs",2022-04-01,0.116,0.0387,11.12,1.637,1.107,0.53,20.371,21.532,0.005,0.991,22.41,6.46,3.93,16.62
"111","nhc",2022-04-15,0.005,0.005,3.076,0.124,0.01,0.114,11.33,5.878,0.005,0.005,7.52,1.06,4.05,12.77
"112","ecng",2022-04-15,0.0188,0.0221,5.77,0.3019,0.1018,0.2001,23.43,17.204,0.289,0.083,19.96,2.53,7.5,23.38
"113","ecgs",2022-04-15,0.005,0.0128,8.211,0.9751,0.34,0.6351,48.307,49.134,0.443,0.335,56.67,16.22,6.09,24.4
"114","nhc",2022-04-29,0.005,0.005,3.055,0.1718,0.107,0.0648,10.838,5.621,0.005,0.102,7.27,1.14,4.15,12.84
"115","ecng",2022-04-29,0.0952,0.0314,8.923,0.5627,0.2062,0.3565,21.272,12.176,0.209,0.111,17.44,2.94,5.88,21.72
"116","ecgs",2022-04-29,0.0292,0.0206,9.174,1.438,0.7532,0.6848,49.268,52.323,0.413,0.724,58.77,17.4,5.87,24.61
"117","nhc",2022-05-12,0.005,0.005,3.009,0.2588,0.154,0.1048,12.723,5.86,0.137,0.149,8.28,1.33,4.66,14.54
"118","ecng",2022-05-12,0.0812,0.0337,6.294,0.5842,0.3032,0.281,19.751,13.883,0.208,0.222,18.22,2.61,6.74,22.06
"119","ecgs",2022-05-12,0.0369,0.0335,10.19,1.594,0.7799,0.8141,51.408,52.817,0.471,0.743,63.09,18.38,5.51,23.03
"120","ecng",2022-05-26,0.0593,0.0343,6.741,0.5747,0.26888,0.30582,9.80542,8.49107,0.12763,0.20958,8.92285,2.44187,3.56583,13.06468
"121","ecgs",2022-05-26,0.0532,0.0294,8.364,2.123,1.74044,0.38256,31.19778,35.4787,0.27656,1.68724,36.5393,11.06212,4.48045,19.51177
"122","nhc",2022-05-26,0.0121,0.0132,10.31,0.9178,0.53365,0.38415,6.1165,3.80202,0.09678,0.52155,4.605,2.0676,3.11984,9.63472
"123","ecng",2022-06-01,0.053,0.0458,7.187,0.5956,0.29952,0.29608,12.46723,10.6728,0.1728,0.24652,11.44619,2.69073,6.01426,18.55785
"124","ecgs",2022-06-01,0.042,0.0263,8.746,1.162,0.63504,0.52696,36.61874,43.4098,0.34155,0.59304,43.28266,11.94254,5.58242,21.65686
"125","nhc",2022-06-01,0.005,0.005,5.377,0.4145,0.19839,0.21611,9.01085,4.51192,0.11541,0.19339,6.41539,1.51238,3.80872,11.70054
"126","ecng",2022-06-10,0.112,0.0565,8.704,0.7622,0.3142,0.448,14.36356,13.46352,0.19382,0.2022,13.94491,2.84936,4.77412,17.93315
"127","nhc",2022-06-10,0.005,0.005,4.082,0.2977,0.13683,0.16087,10.3397,4.38342,0.10125,0.13183,7.13416,1.5679,4.36882,13.246
"128","ecng",2022-06-17,0.0212,0.0536,8.046,0.5587,0.25371,0.30499,14.97446,13.7824,0.22587,0.23251,14.95197,2.5668,6.74879,21.54789
