"","site","Date_UTC","Discharge_Daily_Ave"
"182","ecgs",2021-09-29,0.552177988203213
"183","ecgs",2021-09-30,0.587574013088034
"184","ecgs",2021-10-01,0.59040569507882
"185","ecgs",2021-10-02,0.529524532276927
"186","ecgs",2021-10-03,0.453918623122949
"187","ecgs",2021-10-04,3.31589961121006
"188","ecgs",2021-10-05,2.9506126343987
"189","ecgs",2021-10-06,0.733405635613497
"190","ecgs",2021-10-07,0.552177988203213
"191","ecgs",2021-10-08,0.390772114728427
"192","ecgs",2021-10-09,6.82152191580274
"193","ecgs",2021-10-10,1.22187077902403
"194","ecgs",2021-10-11,0.59040569507882
"195","ecgs",2021-10-12,0.526692850286142
"196","ecgs",2021-10-13,0.477138415447392
"197","ecgs",2021-10-14,0.54085126024007
"198","ecgs",2021-10-15,0.549346306212428
"199","ecgs",2021-10-16,1.25585096291346
"200","ecgs",2021-10-17,1.38469249349421
"201","ecgs",2021-10-18,0.475722574451999
"202","ecgs",2021-10-19,0.489880984405927
"203","ecgs",2021-10-20,0.477138415447392
"204","ecgs",2021-10-21,0.458732482507284
"205","ecgs",2021-10-22,0.427583980608642
"206","ecgs",2021-10-23,0.438910708571784
"207","ecgs",2021-10-24,0.479970097438178
"208","ecgs",2021-10-25,1.99633580350392
"209","ecgs",2021-10-26,20.6019023239614
"210","ecgs",2021-10-27,0.798534321401571
"211","ecgs",2021-10-28,0.441176054164413
"212","ecgs",2021-10-29,0.805613526378535
"213","ecgs",2021-10-30,0.536603737253892
"214","ecgs",2021-10-31,0.464395846488856
"215","ecgs",2021-11-01,0.464395846488856
"216","ecgs",2021-11-02,0.42192061662707
"217","ecgs",2021-11-03,0.438910708571784
"218","ecgs",2021-11-04,0.509702758341428
"219","ecgs",2021-11-05,0.453918623122949
"220","ecgs",2021-11-06,0.436079026580999
"221","ecgs",2021-11-07,0.479970097438178
"222","ecgs",2021-11-08,0.477138415447392
"223","ecgs",2021-11-09,0.467227528479642
"224","ecgs",2021-11-10,0.50120771236907
"225","ecgs",2021-11-11,0.467227528479642
"226","ecgs",2021-11-12,0.479970097438178
"227","ecgs",2021-11-13,0.569168080147927
"228","ecgs",2021-11-14,0.512534440332213
"229","ecgs",2021-11-15,0.526692850286142
"230","ecgs",2021-11-16,0.552177988203213
"231","ecgs",2021-11-17,0.62013835598207
"232","ecgs",2021-11-18,0.562088875170963
"233","ecgs",2021-11-19,0.50120771236907
"234","ecgs",2021-11-20,0.512534440332213
"235","ecgs",2021-11-21,0.515366122322998
"236","ecgs",2021-11-22,2.26534559262856
"237","ecgs",2021-11-23,1.1298411143235
"238","ecgs",2021-11-24,0.427583980608642
"239","ecgs",2021-11-25,0.395019637714606
"240","ecgs",2021-11-26,0.445989913548749
"241","ecgs",2021-11-27,0.454484959521106
"242","ecgs",2021-11-28,0.445989913548749
"243","ecgs",2021-11-29,0.460289907602217
"244","ecgs",2021-11-30,0.414841411650106
"245","ecgs",2021-12-01,0.380861227760677
"246","ecgs",2021-12-02,0.467227528479641
"247","ecgs",2021-12-03,0.505455235355249
"248","ecgs",2021-12-04,0.443158231557963
"249","ecgs",2021-12-05,0.434663185585606
"250","ecgs",2021-12-06,0.427583980608642
"251","ecgs",2021-12-07,0.395019637714606
"252","ecgs",2021-12-08,0.48138593843357
"253","ecgs",2021-12-09,0.555009670193998
"254","ecgs",2021-12-10,0.422062200726609
"255","ecgs",2021-12-11,0.320121649058324
"256","ecgs",2021-12-12,1.17514802617607
"257","ecgs",2021-12-13,0.482801779428963
"258","ecgs",2021-12-14,0.458732482507284
"259","ecgs",2021-12-15,0.419088934636284
