date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2019-02-03,1.1828511646563935,0.1679277652946334,2,3,0.2779162653616555,0.7220837346383445
2019-02-04,1.1687310018487445,0.15591854638596556,2,3,0.2928885819691162,0.7071114180308837
2019-02-05,1.1457036151219755,0.13601895929517901,2,3,0.31769809877007554,0.6823019012299245
2019-02-06,1.1177192293150702,0.11129020662313373,2,3,0.34852830655704664,0.6514716934429534
2019-02-07,1.1091389921996913,0.10358403162377164,2,3,0.3581358666157338,0.6418641333842662
2019-02-08,1.0864146925138187,0.08288300176786585,2,3,0.3839445703674334,0.6160554296325667
2019-02-09,1.0216958821077027,0.021463876175194154,2,3,0.4605179596211797,0.5394820403788203
2019-02-10,1.0037258237034528,0.003718900014618442,2,3,0.48264124701301997,0.5173587529869801
2019-02-11,1.09622343738033,0.091871033970858,2,3,0.37273887374014303,0.627261126259857
2019-02-12,1.2372067898445245,0.21285624988721022,2,3,0.2219023396326508,0.7780976603673492
2019-02-13,1.5439753307212896,0.43436047396282446,3,4,0.9457452141799433,0.05425478582005672
2019-02-14,1.2385385088444687,0.21393206259628875,2,3,0.22056108599965824,0.7794389140003417
2019-02-15,1.1521979337565165,0.14167136501174,2,3,0.31065104528343385,0.6893489547165661
2019-02-16,1.7609779202947626,0.5658692912723553,3,4,0.781788535198111,0.21821146480188902
2019-02-17,2.473312658033902,0.905558409190756,3,4,0.35828613589448155,0.64171386410551845
2019-02-18,7.57175187985386,2.024424464697916,5,6,0.9633563780313075,0.03664362196869253
2019-02-19,2.4687489516970222,0.9037115250381506,3,4,0.36058871148082156,0.6394112885191785
2019-02-20,3.095081822005825,1.129814342622597,3,4,0.07869835737378773,0.9213016426262123
2019-02-21,6.342252396623473,1.8472339729627674,4,5,0.18426601106126925,0.8157339889387307
2019-02-22,7.4538428330149,2.0087297159159276,5,6,0.9829235746679581,0.0170764253320419
2019-02-23,19.362871852975104,2.9633574103603904,6,7,0.792755571888314,0.20724442811168597
2019-02-24,7.064695719123559,1.9551099464366846,4,5,0.049773231682940386,0.9502267683170597
2019-02-25,3.2444337309273052,1.1769408298211177,3,4,0.019944104303721556,0.9800558956962785
2019-02-26,2.2456345104310573,0.8089881139698292,3,4,0.4786837276046367,0.5213162723953633
2019-02-27,2.0007535365635465,0.6935238778823724,3,4,0.6226370615131581,0.3773629384868419
2019-02-28,1.716415178252267,0.5402379171701639,3,4,0.8137440729446411,0.18625592705535887
2019-03-01,NA,NA,NA,NA,NA,NA
2019-03-02,NA,NA,NA,NA,NA,NA
2019-03-03,NA,NA,NA,NA,NA,NA
2019-03-04,NA,NA,NA,NA,NA,NA
2019-03-05,2.330654787946281,0.8461492529671655,3,4,0.43235362547281597,0.567646374527184
2019-03-06,1.8226629000940662,0.6002985636739377,3,4,0.7388643474652234,0.26113565253477655
2019-03-07,1.5015120975396175,0.4064726653782329,3,4,0.9805139283479725,0.019486071652027537
2019-03-08,1.4340271303572056,0.3604866613549491,2,3,0.03784630083488072,0.9621536991651193
2019-03-09,1.3883826281598899,0.3281394927980681,2,3,0.07817465629844547,0.9218253437015546
2019-03-10,1.3475696822039007,0.2983027346746719,2,3,0.11537319456818104,0.8846268054318189
2019-03-11,1.2755442600432463,0.243372958149199,2,3,0.1838560835529795,0.8161439164470206
2019-03-12,1.20025951498378,0.1825377958990774,2,3,0.25970142511950267,0.7402985748804973
2019-03-13,1.1534906829839917,0.1427927214286925,2,3,0.30925301070415717,0.6907469892958429
2019-03-14,1.1556541394419086,0.14466653815073718,2,3,0.3069168573339694,0.6930831426660307
2019-03-15,1.2820141505988063,0.24843239634614628,2,3,0.177548303578555,0.822451696421445
2019-03-16,1.218687275897749,0.1977742760754513,2,3,0.24070556811007504,0.759294431889925
2019-03-17,1.1170917671761411,0.11072867174935523,2,3,0.34922839188151966,0.6507716081184803
2019-03-18,1.0788446752315581,0.07589072339443065,2,3,0.3926620903336162,0.6073379096663838
2019-03-19,1.0376105804066351,0.036920550967563616,2,3,0.4412475782208639,0.5587524217791361
2019-03-20,NA,NA,NA,NA,NA,NA
2019-03-21,NA,NA,NA,NA,NA,NA
2019-03-22,NA,NA,NA,NA,NA,NA
2019-03-23,1.6948992786997077,0.5276233164707785,3,4,0.8294711403737786,0.17052885962622144
2019-03-24,1.2918497079580655,0.2560750734842634,2,3,0.16801990854214674,0.8319800914578532
2019-03-25,1.2661177551206424,0.2359553329199091,2,3,0.19310389844027892,0.8068961015597211
2019-03-26,1.3663121714116366,0.31211526462361205,2,3,0.09815262650972889,0.9018473734902711
2019-03-27,1.198816906961194,0.18133515959848728,2,3,0.26120079419529363,0.7387992058047064
2019-03-28,1.1390451218240425,0.1301902989780467,2,3,0.3249648950812378,0.6750351049187622
2019-03-29,1.119473735745526,0.11285869608072988,2,3,0.3465728154519887,0.6534271845480113
2019-03-30,1.082847634110758,0.0795942693962047,2,3,0.388044748961911,0.611955251038089
2019-03-31,1.058117700350194,0.056491575216558634,2,3,0.41684769229849566,0.5831523077015044
2019-04-01,1.0013470545774057,0.0013461481133348416,2,3,0.4855994404614991,0.5144005595385008
2019-04-02,1.0341270484357925,0.03355763936588785,2,3,0.44544023867664523,0.5545597613233548
2019-04-03,1.0664410499213464,0.06432698306623315,2,3,0.4070790130891229,0.5929209869108771
2019-04-04,1.001244334655334,0.0012435611125975392,2,3,0.48572733929209994,0.5142726607079
2019-04-05,1.4384827639159448,0.36358892195363146,2,3,0.03397860317397805,0.966021396826022
2019-04-06,1.7189071278536718,0.5416886980963416,3,4,0.8119353332156052,0.18806466678439482
2019-04-07,1.298241009915874,0.26101027894718004,2,3,0.16186701389715652,0.8381329861028435
2019-04-08,NA,NA,NA,NA,NA,NA
2019-04-09,NA,NA,NA,NA,NA,NA
2019-04-10,2.355652843790678,0.8568179050981094,3,4,0.4190526407298314,0.5809473592701686
2019-04-11,1.6397592884851242,0.4945494557496079,3,4,0.8707054885786407,0.12929451142135928
2019-04-12,NA,NA,NA,NA,NA,NA
2019-04-13,NA,NA,NA,NA,NA,NA
2019-04-14,NA,NA,NA,NA,NA,NA
2019-04-15,2.838540613923622,1.0432900517607797,3,4,0.18657124127001867,0.8134287587299813
2019-04-16,2.0008791282677234,0.6935866481137941,3,4,0.622558803652633,0.37744119634736695
2019-04-17,1.7253830118336777,0.5454490616826232,3,4,0.8072471553581477,0.19275284464185227
2019-04-18,1.4782329029517218,0.3908473899165706,3,4,0.9999945101468388,5.489853161178004e-6
2019-04-19,1.9951655007687206,0.6907270046798278,3,4,0.626124021940634,0.373875978059366
2019-04-20,2.3117348350309466,0.8379982535020868,3,4,0.4425157638755323,0.5574842361244676
2019-04-21,1.7491116494870147,0.5591080301837078,3,4,0.7902180377706612,0.20978196222933876
2019-04-22,1.5525980950299085,0.4399297180338458,3,4,0.938801841248722,0.06119815875127799
2019-04-23,1.2991712407902274,0.2617265540890037,2,3,0.16097400842502735,0.8390259915749727
2019-04-24,1.1885763115919972,0.17275621407993938,2,3,0.2718964680304293,0.7281035319695708
