date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2021-11-26,0.009840094917980324,-4.621289921828287,8,9,0.8957329697377895,0.10426703026221051
2021-11-27,0.01140931868787407,-4.473324828733739,8,9,0.1559075042650536,0.8440924957349464
2021-11-28,NA,NA,NA,NA,NA,NA
2021-11-29,NA,NA,NA,NA,NA,NA
2021-11-30,NA,NA,NA,NA,NA,NA
2021-12-01,NA,NA,NA,NA,NA,NA
2021-12-02,NA,NA,NA,NA,NA,NA
2021-12-03,NA,NA,NA,NA,NA,NA
2021-12-04,NA,NA,NA,NA,NA,NA
2021-12-05,0.00679603677788569,-4.991415663491143,6,7,0.7463616780520692,0.2536383219479308
2021-12-06,0.00679603677788569,-4.991415663491143,6,7,0.7463616780520692,0.2536383219479308
2021-12-07,0.0069818659085310025,-4.96443907579294,6,7,0.6114787395610571,0.38852126043894286
2021-12-08,0.012453501421976303,-4.385753456898658,9,10,0.7180506450896454,0.28194935491035455
2021-12-09,0.014586111921286787,-4.227685441250111,10,11,0.9277105668469102,0.07228943315308978
2021-12-10,0.008766415496474082,-4.736827279469274,7,8,0.4734197579427275,0.5265802420572725
2021-12-11,0.07874730636250626,-2.5415112067819514,18,19,0.4968393945061129,0.5031606054938871
2021-12-12,0.0527607247595666,-2.9419882143136777,16,17,0.4992244321647439,0.5007755678352561
2021-12-13,0.012692424589948844,-4.366749952468324,9,10,0.6230331229379771,0.3769668770620229
2021-12-14,0.009138073757764705,-4.69530566433011,7,8,0.2658116822469079,0.7341883177530921
2021-12-15,0.00934455056959283,-4.6729619323726075,7,8,0.1540930224593938,0.8459069775406062
2021-12-16,0.007539353300466936,-4.887618869809499,6,7,0.22737770964384987,0.7726222903561502
2021-12-17,0.0076455413751214,-4.873632627834759,6,7,0.15744649977015066,0.8425535002298493
2021-12-18,0.0076455413751214,-4.873632627834759,6,7,0.15744649977015066,0.8425535002298493
2021-12-19,0.7331460647643426,-0.31041032714578926,29,30,0.3413349963253043,0.6586650036746957
2021-12-20,0.052459858548045614,-2.947707000924368,16,17,0.5278183652181951,0.47218163478180486
2021-12-21,0.0424752298617856,-3.1588341997428317,15,16,0.5834543593105143,0.41654564068948574
2021-12-22,0.0549198822775407,-2.9018798416108713,16,17,0.2986825686507119,0.701317431349288
2021-12-23,0.02544089288596533,-3.671397443407363,12,13,0.14627057763317172,0.85372942236682825
2021-12-24,0.01855341637712718,-3.9871013356124374,11,12,0.724790038658542,0.27520996134145803
2021-12-25,0.01505805891975107,-4.1958419547081585,10,11,0.7684931341371464,0.23150686586285363
2021-12-26,0.012751417964756876,-4.362112800639292,9,10,0.599847363792818,0.400152636207182
2021-12-27,0.011143848501237912,-4.496867637245469,8,9,0.2736215468237011,0.7263784531762989
2021-12-28,0.010480173034647511,-4.558270089285897,8,9,0.5806338070258427,0.41936619297415734
2021-12-29,0.01092262334570778,-4.5169191043933115,8,9,0.37387888256291435,0.6261211174370857
2021-12-30,0.013477036474895721,-4.306768043743652,9,10,0.32312357931461594,0.6768764206853841
2021-12-31,0.013232213969442375,-4.32510097022677,9,10,0.41478821173020525,0.5852117882697947
2022-01-01,0.01329120734425041,-4.3206525643147335,9,10,0.39254618217002296,0.6074538178299771
2022-01-02,0.9296382479062071,-0.07295974925348381,30,31,0.15408210686377433,0.8459178931362257
2022-01-03,8.082269328825296,2.0896726906277947,38,38,1,0
2022-01-04,0.20066006507205214,-1.6061430211946195,23,24,0.8199984665694541,0.18000153343054592
2022-01-05,0.08227511017602679,-2.4976866450344954,18,19,0.2777165857688328,0.7222834142311672
2022-01-06,0.04901759512799674,-3.0155759610819968,16,17,0.8671631660063387,0.1328368339936613
2022-01-07,0.03481788981170258,-3.357623949244094,14,15,0.5774031068168245,0.4225968931831755
2022-01-08,0.02777998019710394,-3.5834396545034237,13,14,0.7064816331134747,0.29351836688652533
2022-01-09,1.215325464089081,0.19501191259955547,32,33,0.8142237975985784,0.18577620240142156
2022-01-10,0.1969375831216651,-1.6248684373934406,23,24,0.9136255475635594,0.0863744524364406
2022-01-11,0.06345327394352304,-2.757451487358223,17,18,0.576540797387472,0.423459202612528
2022-01-12,0.03873799956769655,-3.2509342597217636,14,15,0.04395465920517423,0.9560453407948257
2022-01-13,0.031163250242344776,-3.468515755256767,13,14,0.13186213688018994,0.86813786311981
2022-01-14,0.032021603845801695,-3.4413444837922187,14,15,0.9960057795574486,0.003994220442551377
2022-01-15,0.030251802601560625,-3.4981995061464723,13,14,0.2802808913287173,0.7197191086712826
2022-01-16,2.080917554634944,0.7328089284791257,34,35,0.12523871820072963,0.8747612817992704
2022-01-17,0.9138663691512788,-0.09007092264656957,30,31,0.23963797382920346,0.7603620261707965
2022-01-18,0.16157990393046898,-1.822755497494008,22,23,0.9030608480663952,0.0969391519336048
2022-01-19,0.09335996530245667,-2.371292662657112,19,20,0.6457466738819145,0.35425332611808547
2022-01-20,0.29957720628142576,-1.2053831107359252,25,26,0.8161989142759836,0.18380108572401643
2022-01-21,0.1496838899004286,-1.8992296092431609,21,22,0.28543140681215967,0.7145685931878403
2022-01-22,0.1351951170475751,-2.001036232537509,21,22,0.7944645232838992,0.20553547671610084
2022-01-23,0.09365198250775644,-2.3681696809860857,19,20,0.6301317655267841,0.36986823447321593
2022-01-24,0.08026343609507276,-2.5224411030105265,18,19,0.40148887564898816,0.5985111243510118
2022-01-25,0.061972540235841346,-2.7810638914678774,17,18,0.6946028179357426,0.30539718206425737
2022-01-26,0.05262209032876772,-2.9446192791729233,16,17,0.5123797564609718,0.4876202435390282
2022-01-27,0.04133075839050971,-3.186148300989546,15,16,0.7200248655440854,0.2799751344559146
2022-01-28,0.037566981077757036,-3.2816297772227596,14,15,0.19743224671015397,0.8025677532898461
2022-01-29,0.0423218470872847,-3.1624518466547507,15,16,0.6015425938701088,0.3984574061298912
2022-01-30,0.04013909221938739,-3.215404551231226,15,16,0.8663061167524855,0.13369388324751452
2022-01-31,0.03481199047422178,-3.3577933976898096,14,15,0.5782503490454033,0.4217496509545967
2022-02-01,0.03095972309925706,-3.475068174123053,13,14,0.16462423121162106,0.8353757687883789
